,LOC,ZC,CITY,LAT,LONG,num_calls,SPLIT_CITY,STATE
905,Club/Bar/Restaurant,11419,SOUTH RICHMOND HILL,40.69120105,-73.82157618,10,QUEENS,NY
906,Club/Bar/Restaurant,11211,,40.71894075,-73.95653712,12,BROOKLYN,NY
907,Club/Bar/Restaurant,10014,NEW YORK,40.73908435,-74.00545255,16,MANHATTAN,NY
908,Club/Bar/Restaurant,10036,NEW YORK,40.75754542,-73.99256429,13,MANHATTAN,NY
909,Club/Bar/Restaurant,10028,NEW YORK,40.77738159,-73.94899244,22,MANHATTAN,NY
910,Club/Bar/Restaurant,10036,NEW YORK,40.75755914,-73.99254985,34,MANHATTAN,NY
911,Club/Bar/Restaurant,10022,NEW YORK,40.75453592,-73.96875699,12,MANHATTAN,NY
912,Club/Bar/Restaurant,11356,COLLEGE POINT,40.7847389,-73.84577593,10,QUEENS,NY
913,Club/Bar/Restaurant,10003,NEW YORK,40.72937008,-73.9871229,69,MANHATTAN,NY
914,Club/Bar/Restaurant,10036,NEW YORK,40.75820966,-73.99278079,14,MANHATTAN,NY
915,Club/Bar/Restaurant,11206,,40.70700314,-73.93244766,28,BROOKLYN,NY
916,Club/Bar/Restaurant,11206,,40.70393413,-73.94755188,464,BROOKLYN,NY
917,Club/Bar/Restaurant,10464,BRONX,40.84674341,-73.7862907,15,BRONX,NY
918,Club/Bar/Restaurant,10009,NEW YORK,40.72822197,-73.9812818,208,MANHATTAN,NY
919,Club/Bar/Restaurant,10011,NEW YORK,40.73306797,-73.99825,40,MANHATTAN,NY
920,Club/Bar/Restaurant,10003,NEW YORK,40.7269933,-73.98881908,23,MANHATTAN,NY
921,Club/Bar/Restaurant,10009,NEW YORK,40.72891907,-73.98090277,36,MANHATTAN,NY
922,Club/Bar/Restaurant,10026,NEW YORK,40.80311646,-73.95631961,14,MANHATTAN,NY
923,Club/Bar/Restaurant,11249,,40.71762841,-73.96344255,33,BROOKLYN,NY
924,Club/Bar/Restaurant,11237,,40.70000973,-73.91613554,16,BROOKLYN,NY
925,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.75598052,-73.88143206,10,QUEENS,NY
926,Club/Bar/Restaurant,10014,NEW YORK,40.73044666,-74.00430446,10,MANHATTAN,NY
927,Club/Bar/Restaurant,10024,NEW YORK,40.78665655,-73.97575115,12,MANHATTAN,NY
928,Club/Bar/Restaurant,10040,NEW YORK,40.85756814,-73.93217182,18,MANHATTAN,NY
929,Club/Bar/Restaurant,10013,NEW YORK,40.71915709,-74.01033185,32,MANHATTAN,NY
930,Club/Bar/Restaurant,10017,NEW YORK,40.7516051,-73.97089504,23,MANHATTAN,NY
931,Club/Bar/Restaurant,10019,NEW YORK,40.76698914,-73.98350194,19,MANHATTAN,NY
932,Club/Bar/Restaurant,11209,,40.6257805,-74.02415437,12,BROOKLYN,NY
933,Club/Bar/Restaurant,11212,,40.65531376,-73.91606919,23,BROOKLYN,NY
934,Club/Bar/Restaurant,10002,NEW YORK,40.7193216,-73.98781748,71,MANHATTAN,NY
935,Club/Bar/Restaurant,10310,STATEN ISLAND,40.63011491,-74.10888369,11,STATEN ISLAND,NY
936,Club/Bar/Restaurant,10018,NEW YORK,40.75228836,-73.983982,17,MANHATTAN,NY
937,Club/Bar/Restaurant,10030,NEW YORK,40.82043292,-73.94368811,18,MANHATTAN,NY
938,Club/Bar/Restaurant,11237,,40.69975139,-73.91568506,10,BROOKLYN,NY
939,Club/Bar/Restaurant,10026,NEW YORK,40.80597242,-73.95302703,19,MANHATTAN,NY
940,Club/Bar/Restaurant,11356,COLLEGE POINT,40.78145576,-73.84141438,29,QUEENS,NY
941,Club/Bar/Restaurant,11103,ASTORIA,40.75667858,-73.92086486,27,QUEENS,NY
942,Club/Bar/Restaurant,11434,JAMAICA,40.6818709,-73.7660623,140,QUEENS,NY
943,Club/Bar/Restaurant,11226,,40.65045904,-73.95746105,34,BROOKLYN,NY
944,Club/Bar/Restaurant,11235,,40.57748673,-73.95960623,162,BROOKLYN,NY
945,Club/Bar/Restaurant,10036,NEW YORK,40.759412,-73.99561425,57,MANHATTAN,NY
946,Club/Bar/Restaurant,11103,ASTORIA,40.76755509,-73.91202882,23,QUEENS,NY
947,Club/Bar/Restaurant,11361,BAYSIDE,40.76230119,-73.77033181,12,QUEENS,NY
948,Club/Bar/Restaurant,11432,JAMAICA,40.70774599,-73.78732064,10,QUEENS,NY
949,Club/Bar/Restaurant,11435,JAMAICA,40.70222399,-73.81121022,41,QUEENS,NY
950,Club/Bar/Restaurant,11385,RIDGEWOOD,40.70504946,-73.90592938,16,QUEENS,NY
951,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.74795437,-73.88094469,13,QUEENS,NY
952,Club/Bar/Restaurant,10002,NEW YORK,40.71872911,-73.99224756,166,MANHATTAN,NY
953,Club/Bar/Restaurant,10019,NEW YORK,40.7655706,-73.9874408,18,MANHATTAN,NY
954,Club/Bar/Restaurant,10031,NEW YORK,40.82513813,-73.95139477,12,MANHATTAN,NY
955,Club/Bar/Restaurant,10002,NEW YORK,40.71954134,-73.98949493,40,MANHATTAN,NY
956,Club/Bar/Restaurant,10019,NEW YORK,40.76412403,-73.98659635,14,MANHATTAN,NY
957,Club/Bar/Restaurant,11208,,40.68432691,-73.86978716,19,BROOKLYN,NY
958,Club/Bar/Restaurant,11208,,40.68499671,-73.86744578,15,BROOKLYN,NY
959,Club/Bar/Restaurant,11249,,40.7168144,-73.95883279,13,BROOKLYN,NY
960,Club/Bar/Restaurant,11103,ASTORIA,40.76455008,-73.91637195,15,QUEENS,NY
961,Club/Bar/Restaurant,11106,ASTORIA,40.76181566,-73.92332064,51,QUEENS,NY
962,Club/Bar/Restaurant,10029,NEW YORK,40.79904275,-73.94259015,24,MANHATTAN,NY
963,Club/Bar/Restaurant,10461,BRONX,40.83770759,-73.83458731,73,BRONX,NY
964,Club/Bar/Restaurant,10026,NEW YORK,40.80450501,-73.95559267,31,MANHATTAN,NY
965,Club/Bar/Restaurant,11235,,40.57572784,-73.96113718,15,BROOKLYN,NY
966,Club/Bar/Restaurant,11238,,40.6807742,-73.96274888,11,BROOKLYN,NY
967,Club/Bar/Restaurant,10033,NEW YORK,40.85203731,-73.93174731,17,MANHATTAN,NY
968,Club/Bar/Restaurant,10468,BRONX,40.86281834,-73.90782477,58,BRONX,NY
969,Club/Bar/Restaurant,11106,ASTORIA,40.76197072,-73.92538166,70,QUEENS,NY
970,Club/Bar/Restaurant,10014,NEW YORK,40.73267818,-74.00330152,15,MANHATTAN,NY
971,Club/Bar/Restaurant,11215,,40.67349156,-73.98271754,10,BROOKLYN,NY
972,Club/Bar/Restaurant,11217,,40.67776602,-73.97287771,69,BROOKLYN,NY
973,Club/Bar/Restaurant,10031,NEW YORK,40.82498995,-73.95148882,12,MANHATTAN,NY
974,Club/Bar/Restaurant,10009,NEW YORK,40.7226142,-73.97991607,180,MANHATTAN,NY
975,Club/Bar/Restaurant,10014,NEW YORK,40.7342125,-74.00329077,32,MANHATTAN,NY
976,Club/Bar/Restaurant,10009,NEW YORK,40.72709922,-73.98043787,61,MANHATTAN,NY
977,Club/Bar/Restaurant,10019,NEW YORK,40.76580221,-73.97656017,10,MANHATTAN,NY
978,Club/Bar/Restaurant,10003,NEW YORK,40.72900793,-73.98865277,10,MANHATTAN,NY
979,Club/Bar/Restaurant,10019,NEW YORK,40.76348475,-73.98894652,33,MANHATTAN,NY
980,Club/Bar/Restaurant,10029,NEW YORK,40.79769071,-73.93939131,12,MANHATTAN,NY
981,Club/Bar/Restaurant,10009,NEW YORK,40.72252688,-73.98308363,32,MANHATTAN,NY
982,Club/Bar/Restaurant,10028,NEW YORK,40.77429071,-73.94830882,35,MANHATTAN,NY
983,Club/Bar/Restaurant,11249,,40.71666424,-73.96113798,45,BROOKLYN,NY
984,Club/Bar/Restaurant,11105,ASTORIA,40.7784632,-73.90916195,26,QUEENS,NY
985,Club/Bar/Restaurant,10012,NEW YORK,40.72771022,-73.99926759,59,MANHATTAN,NY
986,Club/Bar/Restaurant,10033,NEW YORK,40.84817343,-73.93778024,12,MANHATTAN,NY
987,Club/Bar/Restaurant,11211,,40.7110115,-73.95063394,38,BROOKLYN,NY
988,Club/Bar/Restaurant,10024,NEW YORK,40.78293275,-73.97994843,22,MANHATTAN,NY
989,Club/Bar/Restaurant,10461,BRONX,40.83720479,-73.83423078,10,BRONX,NY
990,Club/Bar/Restaurant,11237,,40.70753974,-73.9216121,18,BROOKLYN,NY
991,Club/Bar/Restaurant,10002,NEW YORK,40.71798239,-73.99029603,40,MANHATTAN,NY
992,Club/Bar/Restaurant,10016,NEW YORK,40.74527188,-73.97844042,87,MANHATTAN,NY
993,Club/Bar/Restaurant,11385,RIDGEWOOD,40.70254531,-73.90480405,16,QUEENS,NY
994,Club/Bar/Restaurant,10307,STATEN ISLAND,40.51125535,-74.24109429,13,STATEN ISLAND,NY
995,Club/Bar/Restaurant,11238,,40.68337461,-73.96634216,41,BROOKLYN,NY
996,Club/Bar/Restaurant,10013,NEW YORK,40.72032678,-73.9968939,20,MANHATTAN,NY
997,Club/Bar/Restaurant,10040,NEW YORK,40.85903026,-73.93082191,19,MANHATTAN,NY
998,Club/Bar/Restaurant,10031,NEW YORK,40.82130084,-73.95792992,21,MANHATTAN,NY
999,Club/Bar/Restaurant,10002,NEW YORK,40.71465855,-73.99107207,12,MANHATTAN,NY
1000,Club/Bar/Restaurant,11206,,40.70427792,-73.93300946,25,BROOKLYN,NY
1001,Club/Bar/Restaurant,11220,,40.64183599,-74.01737876,86,BROOKLYN,NY
1002,Club/Bar/Restaurant,10454,BRONX,40.8092114,-73.92282171,22,BRONX,NY
1003,Club/Bar/Restaurant,11385,RIDGEWOOD,40.71287692,-73.90517886,133,QUEENS,NY
1004,Club/Bar/Restaurant,11417,OZONE PARK,40.67396577,-73.83966196,18,QUEENS,NY
1005,Club/Bar/Restaurant,10002,NEW YORK,40.72136648,-73.9882392,22,MANHATTAN,NY
1006,Club/Bar/Restaurant,10029,NEW YORK,40.79876246,-73.94192943,25,MANHATTAN,NY
1007,Club/Bar/Restaurant,11368,CORONA,40.74227881,-73.85511261,26,QUEENS,NY
1008,Club/Bar/Restaurant,10460,BRONX,40.83750813,-73.86713108,27,BRONX,NY
1009,Club/Bar/Restaurant,11106,ASTORIA,40.76152081,-73.92573231,33,QUEENS,NY
1010,Club/Bar/Restaurant,11103,ASTORIA,40.7648305,-73.91699251,39,QUEENS,NY
1011,Club/Bar/Restaurant,11423,HOLLIS,40.7092334,-73.77562212,23,QUEENS,NY
1012,Club/Bar/Restaurant,11205,,40.69471209,-73.95490489,34,BROOKLYN,NY
1013,Club/Bar/Restaurant,10009,NYC,40.72234313,-73.9841768,15,MANHATTAN,NY
1014,Club/Bar/Restaurant,11209,,40.61265522,-74.03378786,33,BROOKLYN,NY
1015,Club/Bar/Restaurant,11205,,40.69369409,-73.96354582,28,BROOKLYN,NY
1016,Club/Bar/Restaurant,11249,,40.72013698,-73.95527009,22,BROOKLYN,NY
1017,Club/Bar/Restaurant,10031,NEW YORK,40.82996179,-73.94786086,44,MANHATTAN,NY
1018,Club/Bar/Restaurant,10010,NEW YORK,40.74026159,-73.99051652,16,MANHATTAN,NY
1019,Club/Bar/Restaurant,10065,NEW YORK,40.7637552,-73.95896983,11,MANHATTAN,NY
1020,Club/Bar/Restaurant,10002,NEW YORK,40.71763107,-73.99047284,42,MANHATTAN,NY
1021,Club/Bar/Restaurant,11004,GLEN OAKS,40.73700362,-73.70990135,12,QUEENS,NY
1022,Club/Bar/Restaurant,10034,NEW YORK,40.86568682,-73.92743455,13,MANHATTAN,NY
1023,Club/Bar/Restaurant,11222,,40.72696506,-73.95306829,26,BROOKLYN,NY
1024,Club/Bar/Restaurant,11205,,40.69470388,-73.95498423,61,BROOKLYN,NY
1025,Club/Bar/Restaurant,11357,WHITESTONE,40.78884172,-73.81380307,16,QUEENS,NY
1026,Club/Bar/Restaurant,11206,,40.70540944,-73.94462204,61,BROOKLYN,NY
1027,Club/Bar/Restaurant,11211,,40.70941165,-73.95847666,41,BROOKLYN,NY
1028,Club/Bar/Restaurant,10014,NEW YORK,40.73150602,-74.00666066,17,MANHATTAN,NY
1029,Club/Bar/Restaurant,10128,NEW YORK,40.78303709,-73.95212964,12,MANHATTAN,NY
1030,Club/Bar/Restaurant,11207,,40.67637873,-73.89163203,10,BROOKLYN,NY
1031,Club/Bar/Restaurant,10009,NEW YORK,40.72936969,-73.98399834,12,MANHATTAN,NY
1032,Club/Bar/Restaurant,10022,NEW YORK,40.75907107,-73.96235496,10,MANHATTAN,NY
1033,Club/Bar/Restaurant,11226,,40.64187522,-73.94860238,17,BROOKLYN,NY
1034,Club/Bar/Restaurant,11221,,40.69736915,-73.92388161,25,BROOKLYN,NY
1035,Club/Bar/Restaurant,10018,NEW YORK,40.75637885,-73.99176672,12,MANHATTAN,NY
1036,Club/Bar/Restaurant,11206,,40.71147227,-73.94389198,50,BROOKLYN,NY
1037,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.74737533,-73.88648557,19,QUEENS,NY
1038,Club/Bar/Restaurant,10028,NEW YORK,40.77654198,-73.94963216,27,MANHATTAN,NY
1039,Club/Bar/Restaurant,11106,ASTORIA,40.75538176,-73.9272046,36,QUEENS,NY
1040,Club/Bar/Restaurant,11217,,40.68719196,-73.97461545,11,BROOKLYN,NY
1041,Club/Bar/Restaurant,11103,ASTORIA,40.76577062,-73.91898768,33,QUEENS,NY
1042,Club/Bar/Restaurant,10014,NEW YORK,40.73339718,-74.00633971,10,MANHATTAN,NY
1043,Club/Bar/Restaurant,10028,NEW YORK,40.77714218,-73.95406195,10,MANHATTAN,NY
1044,Club/Bar/Restaurant,11223,,40.5983312,-73.96093318,11,BROOKLYN,NY
1045,Club/Bar/Restaurant,10013,NEW YORK,40.72001385,-73.99611108,13,MANHATTAN,NY
1046,Club/Bar/Restaurant,11423,HOLLIS,40.70927153,-73.7754705,35,QUEENS,NY
1047,Club/Bar/Restaurant,10040,NEW YORK,40.8635725,-73.92601242,13,MANHATTAN,NY
1048,Club/Bar/Restaurant,10036,NEW YORK,40.76428125,-73.9985813,10,MANHATTAN,NY
1049,Club/Bar/Restaurant,10002,NEW YORK,40.71572366,-73.99322188,17,MANHATTAN,NY
1050,Club/Bar/Restaurant,11378,MASPETH,40.72659664,-73.89419134,11,QUEENS,NY
1051,Club/Bar/Restaurant,11238,,40.67985516,-73.96417712,15,BROOKLYN,NY
1052,Club/Bar/Restaurant,10002,NEW YORK,40.71575091,-73.99037932,10,MANHATTAN,NY
1053,Club/Bar/Restaurant,11103,ASTORIA,40.76755506,-73.91199994,38,QUEENS,NY
1054,Club/Bar/Restaurant,10012,NEW YORK,40.72735065,-74.00073963,14,MANHATTAN,NY
1055,Club/Bar/Restaurant,11235,,40.58286501,-73.95546643,23,BROOKLYN,NY
1056,Club/Bar/Restaurant,10036,NEW YORK,40.75698226,-73.98708147,15,MANHATTAN,NY
1057,Club/Bar/Restaurant,10034,NEW YORK,40.86579718,-73.91999746,15,MANHATTAN,NY
1058,Club/Bar/Restaurant,11211,,40.71291268,-73.95503686,12,BROOKLYN,NY
1059,Club/Bar/Restaurant,10013,NEW YORK,40.72643651,-74.00565716,15,MANHATTAN,NY
1060,Club/Bar/Restaurant,10019,NEW YORK,40.76583717,-73.99093525,37,MANHATTAN,NY
1061,Club/Bar/Restaurant,11222,,40.7270994,-73.95268575,19,BROOKLYN,NY
1062,Club/Bar/Restaurant,10453,BRONX,40.85392249,-73.914604,12,BRONX,NY
1063,Club/Bar/Restaurant,11237,,40.70088336,-73.9135053,97,BROOKLYN,NY
1064,Club/Bar/Restaurant,11377,WOODSIDE,40.74534875,-73.90350864,24,QUEENS,NY
1065,Club/Bar/Restaurant,11237,,40.70068821,-73.91314851,16,BROOKLYN,NY
1066,Club/Bar/Restaurant,11206,,40.70807123,-73.94332135,19,BROOKLYN,NY
1067,Club/Bar/Restaurant,11211,,40.71410134,-73.94888215,45,BROOKLYN,NY
1068,Club/Bar/Restaurant,10009,NEW YORK,40.72522408,-73.977848,29,MANHATTAN,NY
1069,Club/Bar/Restaurant,11102,ASTORIA,40.77205768,-73.92543534,20,QUEENS,NY
1070,Club/Bar/Restaurant,10012,NEW YORK,40.72909907,-74.00019123,17,MANHATTAN,NY
1071,Club/Bar/Restaurant,10001,NEW YORK,40.74715646,-73.99126982,13,MANHATTAN,NY
1072,Club/Bar/Restaurant,11234,,40.61682225,-73.93050381,10,BROOKLYN,NY
1073,Club/Bar/Restaurant,11232,,40.64799659,-73.99847926,54,BROOKLYN,NY
1074,Club/Bar/Restaurant,11238,,40.67298661,-73.96074525,29,BROOKLYN,NY
1075,Club/Bar/Restaurant,11206,,40.71104762,-73.94551551,18,BROOKLYN,NY
1076,Club/Bar/Restaurant,11220,,40.64968702,-74.00921474,15,BROOKLYN,NY
1077,Club/Bar/Restaurant,10014,NEW YORK,40.73128095,-74.00669672,217,MANHATTAN,NY
1078,Club/Bar/Restaurant,10013,NEW YORK,40.71961867,-73.99945166,69,MANHATTAN,NY
1079,Club/Bar/Restaurant,10009,NEW YORK,40.72898724,-73.97834105,53,MANHATTAN,NY
1080,Club/Bar/Restaurant,10011,NEW YORK,40.73911741,-74.00104649,90,MANHATTAN,NY
1081,Club/Bar/Restaurant,10011,NEW YORK,40.73278251,-73.99814176,12,MANHATTAN,NY
1082,Club/Bar/Restaurant,10009,NEW YORK,40.72971549,-73.98373486,11,MANHATTAN,NY
1083,Club/Bar/Restaurant,10011,NEW YORK,40.73910094,-74.00100679,38,MANHATTAN,NY
1084,Club/Bar/Restaurant,10301,STATEN ISLAND,40.63795072,-74.07940149,40,STATEN ISLAND,NY
1085,Club/Bar/Restaurant,10022,NEW YORK,40.75593546,-73.96773846,56,MANHATTAN,NY
1086,Club/Bar/Restaurant,11417,OZONE PARK,40.67984155,-73.85133644,45,QUEENS,NY
1087,Club/Bar/Restaurant,10040,NEW YORK,40.86111875,-73.92603322,32,MANHATTAN,NY
1088,Club/Bar/Restaurant,10022,NEW YORK,40.75800513,-73.96819227,12,MANHATTAN,NY
1089,Club/Bar/Restaurant,10029,NEW YORK,40.79894934,-73.94241687,72,MANHATTAN,NY
1090,Club/Bar/Restaurant,11211,,40.71324261,-73.95649033,34,BROOKLYN,NY
1091,Club/Bar/Restaurant,11378,MASPETH,40.72868941,-73.8955771,26,QUEENS,NY
1092,Club/Bar/Restaurant,10012,NEW YORK,40.72832504,-73.9994588,35,MANHATTAN,NY
1093,Club/Bar/Restaurant,11226,,40.6401488,-73.95527326,29,BROOKLYN,NY
1094,Club/Bar/Restaurant,11106,ASTORIA,40.76434915,-73.92345851,15,QUEENS,NY
1095,Club/Bar/Restaurant,11105,ASTORIA,40.7710846,-73.9082189,31,QUEENS,NY
1096,Club/Bar/Restaurant,11103,ASTORIA,40.76522074,-73.91392354,29,QUEENS,NY
1097,Club/Bar/Restaurant,10003,NY,40.72706466,-73.98879381,12,MANHATTAN,NY
1098,Club/Bar/Restaurant,11216,,40.67780765,-73.94976442,29,BROOKLYN,NY
1099,Club/Bar/Restaurant,11232,,40.65335105,-74.01191459,71,BROOKLYN,NY
1100,Club/Bar/Restaurant,10031,NEW YORK,40.8244039,-73.94820124,18,MANHATTAN,NY
1101,Club/Bar/Restaurant,11249,,40.71484896,-73.96670864,15,BROOKLYN,NY
1102,Club/Bar/Restaurant,10040,NEW YORK,40.8645253,-73.92661874,31,MANHATTAN,NY
1103,Club/Bar/Restaurant,11237,,40.70694747,-73.92250008,105,BROOKLYN,NY
1104,Club/Bar/Restaurant,11230,,40.6109084,-73.96256096,18,BROOKLYN,NY
1105,Club/Bar/Restaurant,10012,NEW YORK,40.72860227,-74.00006494,41,MANHATTAN,NY
1106,Club/Bar/Restaurant,10034,NEW YORK,40.86631495,-73.91859765,17,MANHATTAN,NY
1107,Club/Bar/Restaurant,11105,ASTORIA,40.77576316,-73.91015493,29,QUEENS,NY
1108,Club/Bar/Restaurant,11218,,40.64505314,-73.97045865,10,BROOKLYN,NY
1109,Club/Bar/Restaurant,11412,SAINT ALBANS,40.69298072,-73.75759951,19,QUEENS,NY
1110,Club/Bar/Restaurant,10034,NEW YORK,40.86606038,-73.92787523,11,MANHATTAN,NY
1111,Club/Bar/Restaurant,10468,BRONX,40.86812319,-73.90044165,10,BRONX,NY
1112,Club/Bar/Restaurant,10025,NEW YORK,40.80277161,-73.9676363,50,MANHATTAN,NY
1113,Club/Bar/Restaurant,11423,HOLLIS,40.71159894,-73.76983199,12,QUEENS,NY
1114,Club/Bar/Restaurant,10009,NEW YORK,40.7223651,-73.98423091,13,MANHATTAN,NY
1115,Club/Bar/Restaurant,10003,NEW YORK,40.73002665,-73.99418378,11,MANHATTAN,NY
1116,Club/Bar/Restaurant,11211,,40.714248,-73.95164157,22,BROOKLYN,NY
1117,Club/Bar/Restaurant,11375,FOREST HILLS,40.71021523,-73.84925599,110,QUEENS,NY
1118,Club/Bar/Restaurant,11220,,40.63820736,-74.01750752,16,BROOKLYN,NY
1119,Club/Bar/Restaurant,10012,NEW YORK,40.72837719,-74.00077211,26,MANHATTAN,NY
1120,Club/Bar/Restaurant,11206,,40.69817416,-73.94445134,10,BROOKLYN,NY
1121,Club/Bar/Restaurant,10009,NEW YORK,40.72417851,-73.9788008,24,MANHATTAN,NY
1122,Club/Bar/Restaurant,11375,FOREST HILLS,40.72061916,-73.8460614,12,QUEENS,NY
1123,Club/Bar/Restaurant,11208,,40.68187155,-73.87841625,75,BROOKLYN,NY
1124,Club/Bar/Restaurant,10019,NEW YORK,40.76409108,-73.98651694,15,MANHATTAN,NY
1125,Club/Bar/Restaurant,10466,BRONX,40.90141806,-73.84689427,13,BRONX,NY
1126,Club/Bar/Restaurant,11222,,40.73316801,-73.95979691,39,BROOKLYN,NY
1127,Club/Bar/Restaurant,11206,,40.70191143,-73.93697905,16,BROOKLYN,NY
1128,Club/Bar/Restaurant,10034,NEW YORK,40.87289918,-73.918181,22,MANHATTAN,NY
1129,Club/Bar/Restaurant,11104,SUNNYSIDE,40.74366173,-73.92306726,30,QUEENS,NY
1130,Club/Bar/Restaurant,10033,NEW YORK,40.84723219,-73.93812449,24,MANHATTAN,NY
1131,Club/Bar/Restaurant,11103,ASTORIA,40.75729856,-73.92037322,339,QUEENS,NY
1132,Club/Bar/Restaurant,11209,,40.62408812,-74.0308145,33,BROOKLYN,NY
1133,Club/Bar/Restaurant,10009,NEW YORK,40.7260542,-73.98532322,10,MANHATTAN,NY
1134,Club/Bar/Restaurant,11106,ASTORIA,40.76114066,-73.92362824,15,QUEENS,NY
1135,Club/Bar/Restaurant,11238,,40.68031093,-73.96463115,13,BROOKLYN,NY
1136,Club/Bar/Restaurant,10001,NEW YORK,40.74521326,-73.99236718,17,MANHATTAN,NY
1137,Club/Bar/Restaurant,10019,NEW YORK,40.76303703,-73.98595762,16,MANHATTAN,NY
1138,Club/Bar/Restaurant,10001,NEW YORK,40.74562238,-73.99525427,13,MANHATTAN,NY
1139,Club/Bar/Restaurant,10013,NEW YORK,40.72009035,-74.00984497,10,MANHATTAN,NY
1140,Club/Bar/Restaurant,10024,NEW YORK,40.78583881,-73.97666145,14,MANHATTAN,NY
1141,Club/Bar/Restaurant,10012,NEW YORK,40.72874499,-74.0003175,20,MANHATTAN,NY
1142,Club/Bar/Restaurant,10009,NEW YORK,40.72506594,-73.98426995,42,MANHATTAN,NY
1143,Club/Bar/Restaurant,11103,ASTORIA,40.76567165,-73.91876037,123,QUEENS,NY
1144,Club/Bar/Restaurant,11234,,40.61956208,-73.92693127,49,BROOKLYN,NY
1145,Club/Bar/Restaurant,10012,NEW YORK,40.73043027,-74.00012268,12,MANHATTAN,NY
1146,Club/Bar/Restaurant,10009,NEW YORK,40.72517834,-73.98328499,10,MANHATTAN,NY
1147,Club/Bar/Restaurant,10003,NEW YORK,40.7271881,-73.98805056,29,MANHATTAN,NY
1148,Club/Bar/Restaurant,11217,,40.68716729,-73.97475969,81,BROOKLYN,NY
1149,Club/Bar/Restaurant,10018,NEW YORK,40.75608531,-73.99432588,16,MANHATTAN,NY
1150,Club/Bar/Restaurant,10002,NEW YORK,40.72223139,-73.99174569,14,MANHATTAN,NY
1151,Club/Bar/Restaurant,11215,,40.6670974,-73.99465067,10,BROOKLYN,NY
1152,Club/Bar/Restaurant,10018,NEW YORK,40.7567221,-73.99444494,10,MANHATTAN,NY
1153,Club/Bar/Restaurant,10014,NEW YORK,40.73248569,-74.00968804,71,MANHATTAN,NY
1154,Club/Bar/Restaurant,10031,NEW YORK,40.82575824,-73.95093905,12,MANHATTAN,NY
1155,Club/Bar/Restaurant,10033,NY,40.85209219,-73.93171834,12,MANHATTAN,NY
1156,Club/Bar/Restaurant,10022,NEW YORK,40.75927139,-73.96221046,10,MANHATTAN,NY
1157,Club/Bar/Restaurant,11378,MASPETH,40.72662405,-73.89415161,38,QUEENS,NY
1158,Club/Bar/Restaurant,10026,NEW YORK,40.80203533,-73.9570969,19,MANHATTAN,NY
1159,Club/Bar/Restaurant,10013,NEW YORK,40.72228652,-74.0035824,12,MANHATTAN,NY
1160,Club/Bar/Restaurant,11375,FOREST HILLS,40.72056678,-73.84589557,15,QUEENS,NY
1161,Club/Bar/Restaurant,11208,,40.68280954,-73.87517678,11,BROOKLYN,NY
1162,Club/Bar/Restaurant,11215,,40.6763246,-73.98589657,26,BROOKLYN,NY
1163,Club/Bar/Restaurant,10019,NEW YORK,40.76005873,-73.9840054,18,MANHATTAN,NY
1164,Club/Bar/Restaurant,10003,NEW YORK,40.73486525,-73.98875642,11,MANHATTAN,NY
1165,Club/Bar/Restaurant,10002,NEW YORK,40.7192033,-73.98549789,36,MANHATTAN,NY
1166,Club/Bar/Restaurant,10310,STATEN ISLAND,40.63798634,-74.10954149,51,STATEN ISLAND,NY
1167,Club/Bar/Restaurant,10002,NEW YORK,40.72262119,-73.9924347,47,MANHATTAN,NY
1168,Club/Bar/Restaurant,11103,ASTORIA,40.76193294,-73.91084501,12,QUEENS,NY
1169,Club/Bar/Restaurant,10009,NEW YORK,40.72436787,-73.97866364,40,MANHATTAN,NY
1170,Club/Bar/Restaurant,10022,NEW YORK,40.75851818,-73.967434,14,MANHATTAN,NY
1171,Club/Bar/Restaurant,11249,,40.71100589,-73.96536874,31,BROOKLYN,NY
1172,Club/Bar/Restaurant,10040,NEW YORK,40.8605242,-73.92768963,14,MANHATTAN,NY
1173,Club/Bar/Restaurant,10025,NEW YORK,40.79890019,-73.96311619,23,MANHATTAN,NY
1174,Club/Bar/Restaurant,11206,,40.708612,-73.94342188,24,BROOKLYN,NY
1175,Club/Bar/Restaurant,10003,NEW YORK,40.73123668,-73.98868847,16,MANHATTAN,NY
1176,Club/Bar/Restaurant,11417,OZONE PARK,40.68207809,-73.83682297,38,QUEENS,NY
1177,Club/Bar/Restaurant,11207,,40.67699328,-73.88846565,12,BROOKLYN,NY
1178,Club/Bar/Restaurant,11206,,40.70731187,-73.93976925,14,BROOKLYN,NY
1179,Club/Bar/Restaurant,10033,NYC,40.85032261,-73.93301057,106,MANHATTAN,NY
1180,Club/Bar/Restaurant,10028,NEW YORK,40.77641157,-73.95280236,17,MANHATTAN,NY
1181,Club/Bar/Restaurant,11377,WOODSIDE,40.7468511,-73.90140603,23,QUEENS,NY
1182,Club/Bar/Restaurant,11249,,40.71837662,-73.96009803,61,BROOKLYN,NY
1183,Club/Bar/Restaurant,11201,,40.69319208,-73.99858642,10,BROOKLYN,NY
1184,Club/Bar/Restaurant,10308,STATEN ISLAND,40.54154749,-74.1466613,40,STATEN ISLAND,NY
